Player,EFF,PPG,APG,RPG,ORPG,DRPG,BLKPG,STPG,TOPG,FOPG,Player_URL
Basem Abdulkader,0,1.2,0.2,0.6,0.2,0.5,0.0,0.0,0.2,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693023?
Abdulaziz Al-Nuaimi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2107724?
Ayanfeoluwa Amoran,0,4.6,0.3,2.5,1.6,0.9,0.0,0.5,0.9,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1719387?
Elias Andersson,0,2.0,0.3,1.5,0.8,0.8,0.5,0.0,1.5,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693050?
Fredrik Andersson,0,8.0,1.0,4.2,0.7,3.5,0.1,0.7,0.3,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693823?
Isak Andersson,0,4.4,0.7,3.0,0.7,2.3,0.4,0.5,1.0,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834296?
Max Andersson,0,4.4,3.6,2.6,0.4,2.2,0.0,0.6,1.9,1.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1696114?
David Apell,0,1.8,0.4,0.7,0.4,0.3,0.2,0.3,0.2,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692625?
Jaxson Baker,0,3.8,0.5,1.6,0.4,1.3,0.3,0.3,0.5,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2359752?
Troy Barnies,0,10.2,1.5,4.6,0.9,3.6,0.1,0.7,1.4,1.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306254?
Charles Barton,0,21.1,8.1,2.1,0.1,1.9,0.1,0.9,3.3,6.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1906778?
Dontay Bassett,0,16.2,1.4,7.0,1.2,5.8,1.3,1.1,1.9,3.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306040?
Hugo Bergström,0,11.5,4.5,2.8,0.6,2.2,0.1,1.2,2.7,3.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692983?
