Player,G,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FT%,FTAPG,Player_URL
Basem Abdulkader,13,25.0,3,6,50.0,1,10,10.0,75.0,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693023?
Abdulaziz Al-Nuaimi,3,0.0,0,0,0.0,0,0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2107724?
Ayanfeoluwa Amoran,33,36.0,47,107,43.9,11,54,20.4,67.6,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1719387?
Elias Andersson,4,23.1,3,6,50.0,0,7,0.0,50.0,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693050?
Fredrik Andersson,42,39.9,35,71,49.3,78,212,36.8,79.5,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693823?
Isak Andersson,23,45.3,29,52,55.8,10,34,29.4,53.8,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834296?
Max Andersson,28,35.3,31,71,43.7,16,62,25.8,76.5,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1696114?
David Apell,10,75.0,4,5,80.0,2,3,66.7,80.0,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692625?
Jaxson Baker,8,35.7,0,6,0.0,10,22,45.5,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2359752?
Troy Barnies,33,51.5,76,119,63.9,43,112,38.4,80.9,2.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306254?
Charles Barton,35,45.3,135,251,53.8,90,246,36.6,83.8,6.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1906778?
Dontay Bassett,18,43.5,72,152,47.4,29,80,36.3,75.9,4.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306040?
Hugo Bergström,37,36.7,82,210,39.0,61,180,33.9,85.7,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692983?
Trevor Blondin,22,45.2,117,237,49.4,40,110,36.4,83.1,3.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2392726?
Vilhelm Bodingh,20,51.2,20,36,55.6,1,5,20.0,50.0,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1696115?
Nils Botold,38,39.4,72,140,51.4,40,144,27.8,68.8,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693051?
Cajus Brehmer,11,0.0,0,9,0.0,0,0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693880?
Felix Broström,25,46.4,61,111,55.0,42,111,37.8,84.9,2.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695744?
