Player,G,GS,MPG,A/TO,EFF,+/-,+/- PG,Tot Fouls PG,Player_URL
Basem Abdulkader,13,0,3.1,100.0,0,-40,-3.1,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693023?
Abdulaziz Al-Nuaimi,3,0,0.2,0.0,0,-1,-0.3,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2107724?
Ayanfeoluwa Amoran,33,26,17.2,36.7,0,-92,-2.8,3.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1719387?
Elias Andersson,4,1,10.5,16.7,0,-27,-6.8,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693050?
Fredrik Andersson,42,6,22.7,323.1,0,238,5.7,1.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693823?
Isak Andersson,23,14,17.7,66.7,0,-178,-7.7,2.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834296?
Max Andersson,28,17,20.6,192.3,0,-104,-3.7,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1696114?
David Apell,10,0,6.4,200.0,0,-32,-3.2,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692625?
Jaxson Baker,8,1,11.4,100.0,0,-29,-3.6,1.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2359752?
Troy Barnies,33,13,26.7,106.4,0,66,2.0,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306254?
Charles Barton,35,35,37.6,246.1,0,-77,-2.2,2.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1906778?
Dontay Bassett,18,15,27.6,74.3,0,-82,-4.6,3.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306040?
Hugo Bergström,37,35,30.7,165.0,0,18,0.5,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692983?
Trevor Blondin,22,19,26.9,122.2,0,125,5.7,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2392726?
Vilhelm Bodingh,20,0,11.7,125.0,0,39,2.0,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1696115?
Nils Botold,38,29,23.1,200.0,0,43,1.1,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693051?
Cajus Brehmer,11,0,3.9,200.0,0,-47,-4.3,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693880?
Felix Broström,25,22,26.1,73.8,0,-25,-1.0,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695744?
John Brändmark,39,30,20.7,341.7,0,122,3.1,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693825?
De´Monte Buckingham,40,5,25.6,252.7,0,229,5.7,2.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2312093?
Aurimas Buskevicius,17,0,6.2,44.4,0,-44,-2.6,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2108613?
Kyle Bynoe,4,0,1.9,0.0,0,-4,-1.0,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2034229?
David Cestic,8,0,3.8,0.0,0,-1,-0.1,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832179?
Tahlik Chavez,39,39,34.2,157.1,0,92,2.4,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301946?
Adrià Codinachs,38,19,21.3,158.3,0,62,1.6,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301947?
Keenon Cole,39,17,19.4,48.6,0,137,3.5,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310231?
Cameron Copeland,9,1,14.1,50.0,0,0,0.0,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2411419?
David Czerapowicz,24,21,26.3,150.0,0,27,1.1,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1909180?
Eddie Czerapowicz,31,2,17.3,196.7,0,-4,-0.1,3.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1694772?
Nicholas Davis,29,24,28.3,83.6,0,-299,-10.3,2.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305692?
Nathan Dawit,39,19,24.0,189.7,0,244,6.3,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692933?
Melker Delryd,35,7,21.4,125.0,0,-52,-1.5,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695749?
Elias Desport,6,0,8.0,400.0,0,-10,-1.7,2.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695762?
Mirko Djeric,35,28,34.5,220.0,0,-7,-0.2,2.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306222?
Joakim Dumon,9,0,5.9,50.0,0,2,0.2,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833311?
William Eriksson Hansson,13,8,23.9,124.1,0,-184,-14.2,2.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692499?
Alliou Fall,6,0,9.8,33.3,0,-25,-4.2,3.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834862?
Boje Finger,5,0,0.7,0.0,0,-11,-2.2,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832493?
Anton Fontin,9,0,4.5,150.0,0,-1,-0.1,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834329?
Sebastian Forsling,38,0,11.6,121.1,0,61,1.6,2.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310230?
Lukas Friberg,35,35,30.8,248.2,0,-26,-0.7,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693879?
Anton Gaddefors,26,15,21.7,147.6,0,-20,-0.8,2.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692698?
Alonzo Gaffney,30,28,27.3,92.5,0,-380,-12.7,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306230?
Davonte Gaines,41,26,22.8,115.0,0,202,4.9,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306598?
Oliver Gehrke,33,22,26.5,71.4,0,-113,-3.4,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1754194?
Denzel George,33,32,26.6,118.3,0,-20,-0.6,3.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692950?
Philip Georgson,6,0,2.4,0.0,0,-2,-0.3,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1705172?
Rami Ghanem,9,1,13.5,22.2,0,-24,-2.7,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693035?
Devonte Green,38,24,25.3,127.8,0,244,6.4,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1976618?
Simon Gunnarsson,40,10,16.2,117.9,0,172,4.3,2.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693828?
William Guténius,34,31,28.2,89.9,0,-128,-3.8,3.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693829?
Moltas Gyllebring,27,1,8.0,180.0,0,-45,-1.7,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693032?
Jacob Hadi,32,4,9.5,37.5,0,-76,-2.4,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692494?
Jesper Hallberg,29,10,12.8,121.4,0,-54,-1.9,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707384?
Pierre Hampton,39,22,22.0,82.3,0,369,9.5,3.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693027?
Daniel Hansson,41,41,28.7,204.0,0,153,3.7,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692928?
Gustav Hansson,42,42,32.0,280.9,0,168,4.0,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693047?
Travis Henson,41,32,27.3,71.8,0,144,3.5,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306597?
Mattias Herlitz,33,1,21.8,113.2,0,-100,-3.0,2.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693840?
Isaiah Hill,30,5,19.3,142.3,0,-100,-3.3,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306041?
Mio Hjalmarsson,16,2,6.7,14.3,0,-37,-2.3,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707379?
Shane Hunter,39,39,27.4,192.5,0,420,10.8,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310232?
Bryan Jefferson,9,9,30.4,67.9,0,15,1.7,3.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2312118?
