Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Denzel George,26.6,9.3,1.7,3.0,4.7,2.6,1.3,0.1,3.3,2.9,2.2
Moltas Gyllebring,8.0,1.3,0.2,0.4,0.6,1.0,0.4,0.0,1.7,0.2,0.6
Adam Johansson,27.1,9.1,0.3,2.2,2.5,4.8,1.3,0.1,3.3,2.5,2.3
Adam Massarsch,10.3,2.0,0.5,1.4,1.9,0.6,0.5,0.1,1.2,0.4,0.3
Elias Desport,8.0,2.7,0.7,0.7,1.3,0.7,0.2,0.0,2.0,1.3,0.2
Charlie Viklund,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoel Weldegergis,6.2,1.1,0.6,0.4,0.9,0.1,0.2,0.1,1.8,0.2,0.2
Hugo Waldeck,5.1,1.0,0.3,0.1,0.4,0.1,0.1,0.1,0.6,0.1,0.3
William Lundin,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Czerapowicz,26.3,9.9,0.3,1.4,1.6,1.1,1.3,0.0,1.7,1.0,0.8
Akili Vining,24.2,15.4,0.2,2.2,2.5,3.6,1.3,0.1,3.4,3.0,2.1
Ben Vander Plas,30.0,18.3,1.4,6.0,7.4,2.4,1.0,0.3,2.5,3.6,1.6
Grant Shephard,28.0,13.2,2.8,4.6,7.4,1.2,0.5,0.7,2.7,3.0,1.5
Troy Barnies,26.7,10.2,0.9,3.6,4.6,1.5,0.7,0.1,2.7,1.9,1.4
Bryan Jefferson,30.4,15.1,1.7,6.9,8.6,2.1,1.0,0.7,3.7,3.0,3.1
