Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Denzel George,2.6,5.1,50.3,2.7,1.0,37.5,1.2,2.2,54.9,1.5
Moltas Gyllebring,0.5,1.1,43.3,0.9,0.1,13.0,0.0,0.2,20.0,0.1
Adam Johansson,2.1,4.7,43.9,4.2,1.3,30.4,1.2,1.4,82.6,1.1
Adam Massarsch,0.3,0.6,50.0,1.1,0.4,35.5,0.3,0.5,53.8,0.5
Elias Desport,1.0,1.7,60.0,0.3,0.2,50.0,0.2,0.7,25.0,0.7
Charlie Viklund,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoel Weldegergis,0.4,0.7,61.5,0.0,0.0,0.0,0.2,0.2,100.0,0.3
Hugo Waldeck,0.0,0.0,0.0,1.0,0.3,28.6,0.1,0.4,33.3,0.0
William Lundin,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
David Czerapowicz,1.5,2.5,58.3,6.5,2.2,34.0,0.4,0.5,75.0,0.6
Akili Vining,3.6,7.0,50.9,5.0,2.1,41.8,2.0,2.4,83.8,1.2
Ben Vander Plas,3.5,6.0,59.1,5.9,2.6,44.1,3.4,4.4,79.0,2.5
Grant Shephard,5.5,8.7,62.4,0.1,0.0,0.0,2.3,3.3,69.6,2.5
Troy Barnies,2.3,3.6,63.9,3.4,1.3,38.4,1.7,2.1,80.9,0.9
Bryan Jefferson,4.0,6.8,59.0,4.1,1.4,35.1,2.8,3.9,71.4,2.4
