Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Denzel George,0,33,32,878:41,306,55,100,155,84,43,2,84,167,33,88,39,71,110,94,71
Moltas Gyllebring,0,27,1,214:44,36,6,10,16,27,11,1,13,30,3,23,1,5,47,6,15
Adam Johansson,0,33,33,894:42,300,10,73,83,158,44,2,68,155,42,138,38,46,109,82,76
Adam Massarsch,0,28,2,289:02,56,14,39,53,18,14,3,8,16,11,31,7,13,34,10,9
Elias Desport,0,6,0,47:52,16,4,4,8,4,1,0,6,10,1,2,1,4,12,8,1
Charlie Viklund,0,2,0,6:37,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Yoel Weldegergis,0,18,0,111:42,20,10,7,17,2,3,1,8,13,0,0,4,4,32,4,4
Hugo Waldeck,0,7,0,35:42,7,2,1,3,1,1,1,0,0,2,7,1,3,4,1,2
William Lundin,0,3,0,4:29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
David Czerapowicz,0,24,21,630:40,238,6,33,39,27,32,0,35,60,53,156,9,12,41,23,18
Akili Vining,0,33,3,798:14,508,7,74,81,118,42,2,117,230,69,165,67,80,111,99,69
Ben Vander Plas,0,23,22,690:59,421,33,138,171,54,22,7,81,137,60,136,79,100,57,82,36
Grant Shephard,0,31,29,866:20,409,88,142,230,38,14,23,169,271,0,3,71,102,83,94,45
Troy Barnies,0,33,13,881:25,336,31,120,151,50,22,4,76,119,43,112,55,68,89,62,47
Bryan Jefferson,0,9,9,273:41,136,15,62,77,19,9,6,36,61,13,37,25,35,33,27,28
