Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Nathan Dawit,24.0,10.8,0.4,2.2,2.6,1.4,1.0,0.3,1.8,1.3,0.7
Tim Schüberg,24.3,6.5,0.7,1.9,2.6,5.0,1.0,0.2,3.0,2.7,1.5
Pierre Hampton,22.0,12.7,1.4,2.8,4.2,1.3,0.7,0.2,3.2,3.7,1.6
Philip Georgson,2.4,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.2
Devonte Green,25.3,13.3,0.7,2.9,3.6,2.4,1.9,0.6,1.7,3.4,1.9
Marcus Tyus,25.5,17.5,0.4,2.7,3.1,3.0,1.4,0.1,2.9,3.6,1.9
Sebastian Forsling,11.6,2.5,1.5,2.6,4.0,0.6,0.2,0.4,2.1,0.6,0.5
Keenon Cole,19.4,8.1,0.8,3.1,3.9,0.5,0.5,0.5,2.3,1.5,1.0
Daniel Love,17.8,6.7,0.4,1.8,2.2,2.0,0.8,0.2,2.6,1.2,1.2
Tim Jonsson,8.2,2.4,0.1,0.5,0.6,0.5,0.3,0.1,0.7,0.5,0.4
Joakim Dumon,5.9,0.8,0.3,0.4,0.8,0.1,0.2,0.2,0.7,0.9,0.2
Shane Hunter,27.4,14.3,2.7,6.4,9.1,2.0,1.2,1.3,2.5,3.2,1.0
