Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Nathan Dawit,1.4,2.5,55.1,6.5,2.3,35.3,1.1,1.3,82.7,1.1
Tim Schüberg,1.1,2.4,44.6,2.6,1.0,37.6,1.5,1.8,81.7,0.4
Pierre Hampton,3.3,5.4,60.4,2.8,1.2,40.9,2.7,3.1,86.9,2.3
Philip Georgson,0.0,0.2,0.0,0.7,0.2,25.0,0.0,0.0,0.0,0.0
Devonte Green,2.2,4.8,47.0,5.7,1.9,33.5,3.1,4.2,73.4,1.4
Marcus Tyus,2.9,5.5,53.1,6.9,2.8,40.8,3.3,3.7,88.5,2.0
Sebastian Forsling,1.1,1.8,61.2,0.1,0.0,0.0,0.3,0.6,45.8,0.9
Keenon Cole,2.0,3.4,58.3,3.1,1.1,35.0,0.9,1.4,60.7,1.2
Daniel Love,1.7,3.4,50.8,2.1,0.9,39.8,0.7,0.9,80.6,0.8
Tim Jonsson,0.4,1.0,38.1,1.2,0.5,37.0,0.3,0.5,70.0,0.1
Joakim Dumon,0.0,0.3,0.0,1.0,0.0,0.0,0.8,1.1,70.0,0.2
Shane Hunter,5.5,8.3,66.6,0.3,0.0,10.0,3.2,4.0,79.4,2.5
