Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Daniel Hansson,28.7,8.6,0.3,1.3,1.6,1.2,0.9,0.0,2.3,0.9,0.6
Gustav Hansson,32.0,18.9,0.7,2.7,3.4,6.3,1.6,0.1,1.7,5.8,2.2
Sergey Sepman,8.2,1.9,0.3,1.0,1.2,0.3,0.3,0.0,0.9,0.1,0.3
Mass Jonsson Samateh,4.7,1.0,0.8,0.0,0.8,0.2,0.0,0.0,0.8,0.4,0.0
Joel Tewolde Berhane,7.4,1.7,0.3,0.6,0.9,0.4,0.1,0.0,0.6,0.1,0.4
Anton Fontin,4.5,0.9,0.8,0.3,1.1,0.3,0.4,0.1,1.1,0.6,0.2
Alliou Fall,9.8,3.7,0.3,0.5,0.8,0.2,0.0,0.5,3.0,0.5,0.5
Brandon Johns Jr,29.9,18.4,2.5,4.7,7.1,1.8,0.9,1.0,2.0,3.8,2.2
Davonte Gaines,22.8,8.2,1.0,3.5,4.4,1.1,1.3,0.3,2.6,2.2,1.0
De´Monte Buckingham,25.6,11.7,1.3,5.5,6.8,5.9,0.8,0.2,2.0,2.6,2.3
Oscar Wickström Stümer,13.9,4.0,1.0,1.4,2.4,0.8,0.5,0.1,1.5,1.1,0.8
Tobias Sjöberg,17.7,5.8,2.2,2.8,5.0,1.1,0.3,0.6,3.6,1.8,1.6
Travis Henson,27.3,13.2,0.5,3.0,3.5,0.7,0.8,1.2,3.1,2.0,1.0
