Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Daniel Hansson,0.6,1.6,35.9,5.5,2.4,43.1,0.4,0.5,71.4,0.6
Gustav Hansson,4.5,8.8,50.4,4.9,1.6,33.2,5.2,6.1,84.1,2.1
Sergey Sepman,0.4,0.7,65.2,1.4,0.3,22.9,0.0,0.0,0.0,0.7
Mass Jonsson Samateh,0.2,0.8,25.0,1.2,0.0,0.0,0.6,0.8,75.0,0.8
Joel Tewolde Berhane,0.0,0.3,0.0,2.9,0.6,20.0,0.0,0.0,0.0,0.0
Anton Fontin,0.2,0.7,33.3,0.2,0.0,0.0,0.4,1.0,44.4,0.0
Alliou Fall,1.8,2.5,73.3,0.0,0.0,0.0,0.0,0.5,0.0,0.3
Brandon Johns Jr,7.1,11.6,61.5,1.3,0.3,25.0,3.2,4.4,71.9,2.8
Davonte Gaines,1.3,2.3,55.8,3.0,1.2,41.0,1.9,2.4,81.4,0.8
De´Monte Buckingham,3.1,6.5,46.7,3.6,1.2,34.3,1.9,2.5,77.0,1.6
Oscar Wickström Stümer,1.3,2.5,50.0,1.0,0.3,25.7,0.7,0.9,78.8,0.5
Tobias Sjöberg,2.2,3.1,71.0,0.0,0.0,0.0,1.4,2.1,67.0,1.3
Travis Henson,2.9,4.6,62.6,4.6,1.7,38.0,2.3,2.6,86.1,1.2
