Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Daniel Hansson,0,41,41,1176:09,352,13,52,65,51,35,1,23,64,97,225,15,21,93,36,25
Gustav Hansson,0,42,42,1343:19,795,28,114,142,264,69,6,187,371,68,205,217,258,73,243,94
Sergey Sepman,0,34,1,277:04,63,9,33,42,11,11,1,15,23,11,48,0,0,31,2,10
Mass Jonsson Samateh,0,5,0,23:20,5,4,0,4,1,0,0,1,4,0,6,3,4,4,2,0
Joel Tewolde Berhane,0,7,0,51:34,12,2,4,6,3,1,0,0,2,4,20,0,0,4,1,3
Anton Fontin,0,9,0,40:06,8,7,3,10,3,4,1,2,6,0,2,4,9,10,5,2
Alliou Fall,0,6,0,58:45,22,2,3,5,1,0,3,11,15,0,0,0,3,18,3,3
Brandon Johns Jr,0,38,38,1135:33,698,93,178,271,67,35,37,271,441,12,48,120,167,77,145,84
Davonte Gaines,0,41,26,936:06,335,39,142,181,46,54,13,53,95,50,122,79,97,108,91,40
De´Monte Buckingham,0,40,5,1022:33,468,53,218,271,235,33,6,122,261,49,143,77,100,78,105,93
Oscar Wickström Stümer,0,36,12,500:40,143,36,52,88,29,17,3,45,90,9,35,26,33,53,40,29
Tobias Sjöberg,0,42,13,741:56,245,94,116,210,46,12,23,93,131,0,1,59,88,152,75,66
Travis Henson,0,41,32,1117:49,540,19,124,143,28,34,49,117,187,71,187,93,108,126,83,39
