Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
William Eriksson Hansson,23.9,6.2,0.2,1.0,1.2,2.8,0.5,0.2,2.0,1.6,2.2
Rami Ghanem,13.5,3.2,0.2,1.2,1.4,0.2,0.2,0.1,2.7,1.0,1.0
Elias Andersson,10.5,2.0,0.8,0.8,1.5,0.3,0.0,0.5,1.0,0.5,1.5
Melker Lindblom,16.0,3.8,0.1,0.8,0.9,1.0,0.4,0.0,1.8,1.1,1.2
David Johansson,10.9,2.3,0.5,1.3,1.8,0.7,0.2,0.2,1.0,0.2,0.5
Tom Nilsson,13.4,2.8,0.4,0.7,1.1,0.5,0.4,0.0,1.3,0.6,0.7
Adam Rask,16.8,3.8,0.7,1.9,2.6,0.8,0.3,0.3,1.1,0.8,0.9
Arvid Strömsten,3.6,0.3,0.0,0.8,0.8,0.0,0.0,0.0,0.3,0.0,0.8
Isak Andersson,17.7,4.4,0.7,2.3,3.0,0.7,0.5,0.4,2.4,1.3,1.0
Keonte Kennedy,31.5,10.7,1.3,4.0,5.3,1.5,1.5,0.1,2.1,1.6,1.5
Nicholas Davis,28.3,15.7,2.3,5.2,7.5,2.1,0.9,0.9,2.4,4.7,2.5
Omar Krayem,29.6,16.3,0.3,3.6,3.9,4.8,1.2,0.1,3.0,4.8,3.7
Alonzo Gaffney,27.3,12.6,1.7,4.7,6.4,2.1,0.6,1.4,2.7,2.5,2.2
Derek St Hilaire,31.6,20.4,0.3,2.9,3.2,3.6,1.2,0.0,2.1,4.5,2.3
Alexander Yemane,19.4,5.9,0.5,1.8,2.3,0.7,0.4,0.3,2.7,1.9,1.0
Emanuel Lundmark,12.7,4.4,0.8,0.6,1.4,0.9,0.4,0.2,3.1,1.3,0.9
