Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
William Eriksson Hansson,0.5,1.9,29.2,4.4,1.5,33.3,0.8,1.1,71.4,0.7
Rami Ghanem,1.2,2.7,45.8,0.3,0.0,0.0,0.8,0.9,87.5,0.9
Elias Andersson,0.8,1.5,50.0,1.8,0.0,0.0,0.5,1.0,50.0,0.5
Melker Lindblom,0.1,0.7,21.1,2.6,0.9,35.1,0.7,0.8,86.4,0.1
David Johansson,0.2,0.7,30.0,2.1,0.6,27.1,0.1,0.1,100.0,0.3
Tom Nilsson,0.2,1.1,17.6,1.9,0.7,36.7,0.4,0.6,66.7,0.1
Adam Rask,1.1,2.1,53.1,1.5,0.3,18.2,0.7,1.0,73.3,0.2
Arvid Strömsten,0.2,0.5,33.3,0.7,0.0,0.0,0.0,0.3,0.0,0.0
Isak Andersson,1.3,2.3,55.8,1.5,0.4,29.4,0.6,1.1,53.8,0.3
Keonte Kennedy,3.3,6.9,48.1,3.9,0.9,24.1,1.2,1.7,72.0,0.7
Nicholas Davis,5.7,8.9,64.2,0.9,0.2,28.0,3.6,4.8,74.1,2.8
Omar Krayem,3.5,5.9,58.9,6.3,2.2,35.3,2.7,3.6,76.5,1.4
Alonzo Gaffney,3.8,8.3,46.0,4.1,1.0,25.0,1.9,2.5,74.7,1.3
Derek St Hilaire,5.1,10.5,48.4,5.2,1.8,33.9,5.0,6.0,83.3,1.3
Alexander Yemane,0.8,1.8,42.0,2.6,1.0,37.8,1.4,1.7,80.9,0.7
Emanuel Lundmark,1.6,3.3,50.0,0.1,0.0,0.0,1.1,1.6,69.4,0.9
