Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
William Eriksson Hansson,0,13,8,310:30,81,2,13,15,36,7,3,7,24,19,57,10,14,26,21,29
Rami Ghanem,0,9,1,121:53,29,2,11,13,2,2,1,11,24,0,3,7,8,24,9,9
Elias Andersson,0,4,1,41:59,8,3,3,6,1,0,2,3,6,0,7,2,4,4,2,6
Melker Lindblom,0,28,9,449:15,105,4,22,26,28,11,0,4,19,26,74,19,22,50,32,34
David Johansson,0,28,3,305:36,64,13,37,50,19,5,5,6,20,16,59,4,4,27,5,14
Tom Nilsson,0,16,3,213:55,45,7,11,18,8,6,0,3,17,11,30,6,9,20,9,11
Adam Rask,0,15,6,252:32,57,10,29,39,12,4,4,17,32,4,22,11,15,16,12,13
Arvid Strömsten,0,6,0,21:40,2,0,5,5,0,0,0,1,3,0,4,0,2,2,0,5
Isak Andersson,0,23,14,405:56,102,16,53,69,16,12,9,29,52,10,34,14,26,56,30,24
Keonte Kennedy,0,15,13,472:31,160,20,60,80,23,22,2,50,104,14,58,18,25,32,24,22
Nicholas Davis,0,29,24,821:10,454,68,150,218,61,26,27,165,257,7,25,103,139,70,137,73
Omar Krayem,0,19,15,563:00,310,6,68,74,91,22,2,66,112,42,119,52,68,56,91,70
Alonzo Gaffney,0,30,28,818:15,377,50,141,191,62,17,41,114,248,31,124,56,75,82,75,67
Derek St Hilaire,0,12,11,378:47,245,3,35,38,43,14,0,61,126,21,62,60,72,25,54,28
Alexander Yemane,0,28,12,544:22,164,15,49,64,20,11,7,21,50,28,74,38,47,76,52,29
Emanuel Lundmark,0,22,2,278:31,97,17,13,30,19,9,5,36,72,0,2,25,36,69,29,19
