Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Erik Juhlin,3.7,1.0,0.1,0.2,0.3,0.0,0.1,0.1,0.3,0.0,0.0
Andreas Person,20.5,6.5,0.5,2.5,3.0,0.8,0.6,0.1,2.2,1.6,0.6
Fredrik Andersson,22.7,8.0,0.7,3.5,4.2,1.0,0.7,0.1,1.9,1.1,0.3
John Brändmark,20.7,3.1,0.7,2.5,3.2,1.1,0.4,0.3,2.6,0.7,0.3
Ludvig Johansson,29.3,10.5,0.6,1.9,2.6,5.2,0.9,0.0,2.6,3.4,2.4
Simon Gunnarsson,16.2,2.1,1.5,2.7,4.1,0.8,0.7,0.1,2.8,1.0,0.7
Filip Larsson,1.6,0.0,0.1,0.0,0.1,0.3,0.0,0.0,0.1,0.1,0.0
Oskar Palmquist,23.6,9.0,0.9,2.7,3.6,0.6,0.5,0.1,1.5,1.6,0.7
Matthew Johnson II,22.1,14.1,0.1,2.2,2.3,3.5,0.5,0.0,2.0,3.8,0.8
Jase Townsend,28.8,23.7,0.2,3.7,3.9,3.9,0.6,0.0,2.4,4.5,2.4
Lukas Millner,20.2,8.6,2.3,3.2,5.5,1.2,0.3,0.6,3.1,2.1,0.9
Hameir Wright,23.1,14.5,1.2,5.1,6.2,1.0,1.0,1.5,2.6,4.2,2.1
Lukas Milner,25.0,10.4,2.1,3.7,5.8,1.0,0.6,0.8,3.2,2.6,1.3
Trevor Blondin,26.9,19.2,0.6,3.0,3.6,3.0,0.7,0.3,2.5,3.4,2.5
