Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Erik Juhlin,0.1,0.1,100.0,0.9,0.3,30.8,0.0,0.0,0.0,0.1
Andreas Person,1.1,2.4,47.5,3.9,1.0,24.8,1.3,1.7,78.6,0.6
Fredrik Andersson,0.8,1.7,49.3,5.1,1.9,36.8,0.7,0.9,79.5,1.3
John Brändmark,0.5,1.2,45.7,1.7,0.5,30.3,0.5,0.7,71.4,0.4
Ludvig Johansson,1.3,2.8,47.9,4.9,2.0,39.6,2.0,2.5,80.6,1.4
Simon Gunnarsson,0.7,1.3,58.0,0.6,0.2,25.0,0.2,0.5,36.8,0.4
Filip Larsson,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.3,0.0,0.0
Oskar Palmquist,1.9,3.5,53.4,3.8,1.2,32.5,1.6,2.1,77.9,1.1
Matthew Johnson II,3.7,6.6,56.1,3.8,1.4,36.8,2.5,2.8,89.3,1.4
Jase Townsend,5.6,9.8,56.9,6.0,2.8,46.1,4.2,4.6,92.3,2.3
Lukas Millner,3.5,5.6,61.8,0.1,0.1,33.3,1.6,2.9,54.0,2.1
Hameir Wright,3.2,6.3,50.6,4.6,1.5,32.4,3.7,4.7,77.3,1.5
Lukas Milner,4.3,6.8,62.2,0.2,0.1,50.0,1.7,3.0,55.6,1.8
Trevor Blondin,5.3,10.8,49.4,5.0,1.8,36.4,3.1,3.8,83.1,1.8
