Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Erik Juhlin,0,14,0,51:38,14,1,3,4,0,2,1,1,1,4,13,0,0,4,0,0
Andreas Person,0,42,12,859:24,272,22,103,125,32,27,5,47,99,41,165,55,70,91,66,27
Fredrik Andersson,0,42,6,954:34,335,28,147,175,42,31,4,35,71,78,212,31,39,80,48,13
John Brändmark,0,39,30,808:23,122,29,96,125,41,15,11,21,46,20,66,20,28,102,29,12
Ludvig Johansson,0,42,42,1229:09,441,27,81,108,220,38,0,56,117,82,207,83,103,111,141,99
Simon Gunnarsson,0,40,10,647:50,83,59,106,165,33,29,2,29,50,6,24,7,19,111,38,28
Filip Larsson,0,7,0,10:58,0,1,0,1,2,0,0,0,1,0,3,0,2,1,1,0
Oskar Palmquist,0,42,38,989:23,379,38,112,150,26,20,5,78,146,52,160,67,86,63,66,31
Matthew Johnson II,0,10,0,220:52,141,1,22,23,35,5,0,37,66,14,38,25,28,20,38,8
Jase Townsend,0,17,17,490:02,403,4,62,66,67,10,0,95,167,47,102,72,78,40,76,40
Lukas Millner,0,22,20,445:18,189,51,70,121,27,6,13,76,123,1,3,34,63,68,45,20
Hameir Wright,0,39,4,900:12,567,45,198,243,39,40,59,125,247,58,179,143,185,103,163,81
Lukas Milner,0,12,12,299:56,125,25,44,69,12,7,10,51,82,1,2,20,36,38,31,16
Trevor Blondin,0,22,19,592:15,423,14,65,79,66,16,7,117,237,40,110,69,83,54,74,54
