Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Jacob Hadi,9.5,2.5,0.6,0.7,1.3,0.3,0.3,0.1,1.6,0.6,0.8
Nils Botold,23.1,8.1,1.0,1.8,2.8,1.1,0.8,0.3,3.1,1.3,0.5
Boje Finger,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atle Mellquist,5.0,1.5,0.3,0.3,0.6,0.3,0.1,0.2,1.0,0.4,0.1
Noah Lindén,2.0,0.4,0.1,0.0,0.1,0.1,0.0,0.1,0.4,0.0,0.3
Hugo Bergström,30.7,11.5,0.6,2.2,2.8,4.5,1.2,0.1,2.5,3.6,2.7
Basem Abdulkader,3.1,1.2,0.2,0.5,0.6,0.2,0.0,0.0,0.8,0.4,0.2
Elias Weibert,20.0,6.2,1.0,2.0,3.0,1.5,1.3,0.1,3.8,1.7,1.1
Lucas Strömbäck,1.0,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Erik Persson,17.6,7.7,0.8,1.0,1.8,1.8,1.0,0.2,2.2,0.5,1.5
Abdulaziz Al-Nuaimi,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
Dwight Wilson III,34.5,17.3,4.2,7.2,11.4,2.3,0.5,0.4,2.0,3.6,2.0
Brion Jamar McLaurin,28.5,13.6,1.5,4.2,5.7,1.6,0.5,0.1,1.5,3.2,1.2
Tahlik Chavez,34.2,21.9,0.6,3.1,3.8,4.0,1.6,0.2,2.5,6.0,2.5
Adrià Codinachs,21.3,6.7,1.8,3.5,5.3,1.0,1.2,0.1,3.1,1.8,0.6
