Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Jacob Hadi,0.4,1.1,38.2,1.3,0.4,34.1,0.4,0.8,54.2,0.3
Nils Botold,1.9,3.7,51.4,3.8,1.1,27.8,1.2,1.7,68.8,1.1
Boje Finger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atle Mellquist,0.6,1.0,60.0,0.0,0.0,0.0,0.2,0.7,31.3,0.3
Noah Lindén,0.0,0.3,0.0,0.8,0.1,16.7,0.0,0.0,0.0,0.0
Hugo Bergström,2.2,5.7,39.0,4.9,1.7,33.9,2.1,2.5,85.7,1.0
Basem Abdulkader,0.2,0.5,50.0,0.8,0.1,10.0,0.5,0.6,75.0,0.2
Elias Weibert,1.5,3.0,49.6,1.8,0.7,36.8,1.2,1.8,64.3,0.7
Lucas Strömbäck,0.1,0.3,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Erik Persson,0.5,2.2,23.1,5.0,1.8,36.7,1.2,1.3,87.5,2.0
Abdulaziz Al-Nuaimi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight Wilson III,7.1,12.1,58.5,0.1,0.0,25.0,3.1,4.5,69.3,4.6
Brion Jamar McLaurin,3.4,6.9,49.6,3.2,1.2,37.6,3.2,4.1,77.1,1.9
Tahlik Chavez,3.6,7.8,46.9,7.4,2.9,38.4,6.1,6.9,88.1,3.2
Adrià Codinachs,2.3,3.9,59.5,1.9,0.4,22.2,0.8,1.4,58.5,1.7
