Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Jacob Hadi,0,32,4,304:04,81,20,23,43,9,11,4,13,34,14,41,13,24,50,18,24
Nils Botold,0,38,29,877:28,308,37,69,106,40,30,12,72,140,40,144,44,64,118,49,20
Boje Finger,0,5,0,3:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atle Mellquist,0,24,0,119:01,35,7,7,14,7,2,4,15,25,0,0,5,16,24,9,3
Noah Lindén,0,8,0,15:49,3,1,0,1,1,0,1,0,2,1,6,0,0,3,0,2
Hugo Bergström,0,37,35,1135:53,425,21,83,104,165,44,2,82,210,61,180,78,91,93,134,100
Basem Abdulkader,0,13,0,40:13,15,2,6,8,2,0,0,3,6,1,10,6,8,10,5,2
Elias Weibert,0,38,5,761:41,234,37,77,114,55,48,2,57,115,25,68,45,70,145,64,40
Lucas Strömbäck,0,7,0,6:57,2,1,0,1,0,0,0,1,2,0,1,0,0,0,0,1
Erik Persson,0,6,1,105:22,46,5,6,11,11,6,1,3,13,11,30,7,8,13,3,9
Abdulaziz Al-Nuaimi,0,3,0,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Dwight Wilson III,0,39,39,1343:35,675,163,282,445,90,18,16,275,470,1,4,122,176,77,142,79
Brion Jamar McLaurin,0,34,24,967:24,463,51,143,194,54,17,4,116,234,41,109,108,140,52,108,42
Tahlik Chavez,0,39,39,1333:05,853,25,122,147,154,61,6,142,303,111,289,236,268,97,235,98
Adrià Codinachs,0,38,19,810:27,255,70,133,203,38,46,5,88,148,16,72,31,53,117,67,24
