Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Abdou Medjedoub,24.2,11.7,2.7,4.3,7.0,1.3,1.0,0.4,3.5,2.6,1.4
Dartaye Ruffin,16.5,8.9,1.4,3.6,4.9,1.3,0.7,0.9,3.2,1.7,0.9
William Guténius,28.2,14.7,1.3,5.5,6.8,1.8,0.6,0.2,3.3,4.5,2.0
Felix Broström,26.1,11.7,0.7,4.1,4.8,1.2,0.3,0.4,1.4,2.5,1.7
Dante Myrthil,0.9,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Mio Hjalmarsson,6.7,0.8,0.0,0.3,0.3,0.1,0.3,0.0,1.8,0.1,0.4
Anton Johansson,10.7,3.0,0.4,1.0,1.4,0.3,0.2,0.3,1.6,0.3,0.2
Charles Barton,37.6,21.1,0.1,1.9,2.1,8.1,0.9,0.1,2.2,6.7,3.3
Joan Pardina,15.3,1.3,1.3,3.7,5.0,0.3,0.3,0.3,1.3,1.3,0.3
Mirko Djeric,34.5,14.2,0.6,4.4,5.0,6.3,1.3,0.2,2.9,2.8,2.9
Ibrahim Magassa,20.9,7.0,0.5,1.9,2.5,1.0,0.7,0.3,2.4,0.7,0.6
Cameron Copeland,14.1,8.3,0.2,1.7,1.9,0.3,0.6,0.1,1.4,0.9,0.7
Anton Lindqvist,13.4,4.0,0.5,0.7,1.1,0.3,0.3,0.3,2.3,0.8,0.5
