Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Abdou Medjedoub,4.9,6.8,71.4,0.2,0.0,12.5,1.9,2.7,69.9,1.5
Dartaye Ruffin,3.9,6.0,64.2,0.1,0.0,0.0,1.2,1.6,72.1,2.1
William Guténius,3.0,6.0,50.2,4.7,1.7,35.6,3.7,4.3,85.7,2.2
Felix Broström,2.4,4.4,55.0,4.4,1.7,37.8,1.8,2.1,84.9,0.9
Dante Myrthil,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mio Hjalmarsson,0.1,0.7,18.2,0.8,0.2,25.0,0.0,0.0,0.0,0.0
Anton Johansson,0.5,1.0,55.6,1.9,0.5,28.3,0.3,0.4,81.8,0.5
Charles Barton,3.9,7.2,53.8,7.0,2.6,36.6,5.6,6.7,83.8,1.5
Joan Pardina,0.3,1.0,33.3,1.3,0.0,0.0,0.7,1.3,50.0,0.0
Mirko Djeric,2.2,4.1,53.5,6.5,2.5,37.6,2.5,2.9,85.1,1.6
Ibrahim Magassa,1.3,2.1,60.9,3.1,1.3,40.4,0.6,0.8,75.0,0.4
Cameron Copeland,2.3,3.4,67.7,3.0,1.0,33.3,0.7,0.8,85.7,0.8
Anton Lindqvist,0.8,1.5,51.2,1.6,0.7,40.4,0.6,0.8,72.7,0.5
