Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Abdou Medjedoub,0,34,26,823:42,398,92,147,239,43,34,14,165,231,1,8,65,93,119,88,49
Dartaye Ruffin,0,27,7,445:33,239,37,96,133,35,18,23,104,162,0,3,31,43,85,45,25
William Guténius,0,34,31,958:10,501,44,188,232,62,21,6,102,203,57,160,126,147,113,153,69
Felix Broström,0,25,22,652:01,293,17,102,119,31,8,11,61,111,42,111,45,53,35,62,42
Dante Myrthil,0,4,0,3:41,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Mio Hjalmarsson,0,16,2,107:25,13,0,5,5,1,4,0,2,11,3,12,0,0,29,2,7
Anton Johansson,0,28,7,298:58,84,10,28,38,9,5,8,15,27,15,53,9,11,45,8,6
Charles Barton,0,35,35,1314:42,737,5,68,73,283,32,2,135,251,90,246,197,235,77,233,115
Joan Pardina,0,3,2,45:52,4,4,11,15,1,1,1,1,3,0,4,2,4,4,4,1
Mirko Djeric,0,35,28,1208:02,496,21,154,175,220,44,7,76,142,86,229,86,101,100,98,100
Ibrahim Magassa,0,30,7,626:45,210,16,58,74,30,20,10,39,64,38,94,18,24,73,20,17
Cameron Copeland,0,9,1,126:34,75,2,15,17,3,5,1,21,31,9,27,6,7,13,8,6
Anton Lindqvist,0,29,7,388:29,117,14,19,33,10,9,8,22,43,19,47,16,22,66,24,13
