Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Anton Gaddefors,21.7,12.1,0.3,2.9,3.2,1.2,0.5,0.1,2.8,1.7,0.8
Niklas Larsson,29.7,13.0,1.2,3.0,4.2,3.2,0.6,0.1,1.5,2.8,1.2
Åke Swahn,11.7,5.3,1.4,1.2,2.6,0.4,0.3,0.3,2.2,1.5,0.6
Marcus Stålberg,3.7,0.8,0.0,0.2,0.2,0.4,0.0,0.0,0.8,0.2,0.3
Henrik Jädersten,22.9,8.7,1.2,3.1,4.3,1.8,0.4,0.5,3.3,1.7,1.0
Alan Zekovic,5.6,1.3,0.1,0.1,0.3,0.3,0.1,0.0,1.1,0.0,0.1
Lukas Friberg,30.8,11.5,0.9,3.4,4.2,5.9,1.4,0.3,2.7,5.4,2.4
Cajus Brehmer,3.9,0.0,0.5,0.6,1.1,0.2,0.1,0.2,0.3,0.0,0.1
Melker Delryd,21.4,7.7,0.7,1.5,2.1,1.4,0.6,0.6,2.3,1.4,1.1
Vilhelm Bodingh,11.7,2.5,1.3,1.5,2.8,0.8,0.5,0.5,2.5,0.5,0.6
Hugo Tidare,13.5,4.1,0.3,1.5,1.7,0.4,0.2,0.1,1.4,0.6,0.7
Vilhelm Jennlinger,0.8,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Bynoe,1.9,0.8,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.0,0.0
Peter Stümer,30.4,14.3,0.7,4.6,5.2,3.1,1.3,0.0,2.5,3.2,1.8
Olle Stümer,15.8,5.5,1.1,2.3,3.4,0.8,0.4,0.2,2.3,1.2,1.0
