Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Anton Gaddefors,2.0,4.0,50.5,5.0,2.3,45.4,1.2,1.4,86.1,1.1
Niklas Larsson,3.4,7.0,48.5,4.6,1.5,33.3,1.7,2.2,75.7,1.8
Åke Swahn,1.9,2.6,73.8,0.3,0.1,40.0,1.1,1.7,65.4,1.1
Marcus Stålberg,0.2,0.4,50.0,0.3,0.1,25.0,0.2,0.3,62.5,0.1
Henrik Jädersten,2.0,3.7,53.8,3.7,1.3,34.4,0.9,1.3,70.5,1.2
Alan Zekovic,0.3,0.5,50.0,1.8,0.3,14.3,0.0,0.0,0.0,0.3
Lukas Friberg,2.2,4.6,48.8,3.8,1.5,38.6,2.7,3.7,72.7,1.3
Cajus Brehmer,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melker Delryd,1.2,3.2,36.9,3.9,1.5,37.8,1.0,1.3,75.6,0.8
Vilhelm Bodingh,1.0,1.8,55.6,0.3,0.1,20.0,0.4,0.7,50.0,0.3
Hugo Tidare,0.6,0.9,65.6,2.6,0.8,31.5,0.4,0.5,76.5,0.7
Vilhelm Jennlinger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Bynoe,0.0,0.3,0.0,0.5,0.3,50.0,0.0,0.0,0.0,0.0
Peter Stümer,3.0,5.0,60.4,5.7,1.9,32.3,2.7,3.7,73.6,0.9
Olle Stümer,1.6,3.1,50.9,1.6,0.4,26.3,1.0,1.6,63.6,1.2
