Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Anton Gaddefors,0,26,15,562:48,314,7,76,83,31,13,3,53,105,59,130,31,36,72,44,21
Niklas Larsson,0,34,32,1008:28,442,39,103,142,107,20,3,115,237,52,156,56,74,52,95,39
Åke Swahn,0,31,5,363:04,164,44,37,81,12,10,10,59,80,4,10,34,52,68,46,17
Marcus Stålberg,0,25,0,92:59,21,1,5,6,9,1,1,5,10,2,8,5,8,19,6,7
Henrik Jädersten,0,35,31,800:31,306,43,109,152,62,13,18,70,130,45,131,31,44,117,58,36
Alan Zekovic,0,8,0,45:04,10,1,1,2,2,1,0,2,4,2,14,0,0,9,0,1
Lukas Friberg,0,35,35,1076:28,402,30,118,148,206,48,9,78,160,51,132,93,128,96,190,83
Cajus Brehmer,0,11,0,42:45,0,5,7,12,2,1,2,0,9,0,0,0,0,3,0,1
Melker Delryd,0,35,7,747:41,269,23,52,75,50,22,22,41,111,51,135,34,45,80,50,40
Vilhelm Bodingh,0,20,0,233:35,50,26,30,56,15,10,9,20,36,1,5,7,14,50,10,12
Hugo Tidare,0,34,9,458:12,139,9,50,59,13,7,2,21,32,28,89,13,17,47,20,24
Vilhelm Jennlinger,0,3,0,2:15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Bynoe,0,4,0,7:25,3,0,1,1,1,0,0,0,1,1,2,0,0,1,0,0
Peter Stümer,0,34,32,1032:14,485,22,156,178,104,45,1,102,169,63,195,92,125,84,108,62
Olle Stümer,0,35,9,551:23,192,40,79,119,27,14,6,56,110,15,57,35,55,82,43,36
