Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Kevin Senghore Petersson,14.4,1.9,0.7,1.9,2.6,0.2,0.2,0.2,2.3,1.1,0.7
Mattias Herlitz,21.8,6.7,1.3,2.2,3.5,1.3,0.6,0.1,2.9,1.3,1.2
Eddie Czerapowicz,17.3,4.4,0.5,1.7,2.2,1.9,0.8,0.1,3.0,0.8,1.0
Oliver Gehrke,26.5,10.0,1.2,3.1,4.3,0.6,0.4,0.3,2.6,2.7,0.9
David Cestic,3.8,1.3,0.3,0.4,0.6,0.0,0.0,0.1,2.3,0.0,0.5
Lukas Novakovic,9.5,2.6,0.1,0.4,0.6,0.2,0.3,0.0,1.7,0.5,0.6
Noel Karlsson Rask,1.3,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0
Nicholas Spires,30.7,12.4,2.4,5.6,8.0,1.3,0.8,1.9,3.5,2.7,1.8
Larry Wise,26.3,11.6,1.0,2.6,3.6,2.1,1.1,0.1,3.1,2.6,1.1
Tyler Peterson,34.2,18.2,2.5,2.6,5.1,6.2,2.1,0.4,3.7,5.6,3.3
Kevin Schutte,16.4,6.3,2.1,3.2,5.2,0.8,0.4,0.3,2.9,1.7,1.1
Jaxson Baker,11.4,3.8,0.4,1.3,1.6,0.5,0.3,0.3,1.5,0.1,0.5
Jonathan Williams,34.5,17.3,0.4,3.1,3.5,5.1,1.3,0.3,1.9,4.8,2.8
Ludvig Lindby,11.2,2.8,0.4,1.1,1.5,0.4,0.3,0.0,1.8,0.3,0.4
Ayanfeoluwa Amoran,17.2,4.6,1.6,0.9,2.5,0.3,0.5,0.0,3.2,0.9,0.9
