Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Kevin Senghore Petersson,0.5,1.3,41.2,0.2,0.1,50.0,0.5,1.2,46.7,0.2
Mattias Herlitz,1.6,3.3,49.1,1.9,0.9,49.2,0.7,1.2,61.5,1.0
Eddie Czerapowicz,0.6,1.4,39.5,3.7,1.0,26.5,0.4,0.5,75.0,0.8
Oliver Gehrke,2.4,4.5,54.4,4.5,1.1,24.3,1.9,3.1,62.4,1.8
David Cestic,0.6,0.9,71.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Lukas Novakovic,0.4,0.8,42.9,1.6,0.5,32.5,0.4,0.4,81.8,0.4
Noel Karlsson Rask,0.2,0.2,100.0,0.0,0.0,0.0,0.2,0.4,50.0,0.4
Nicholas Spires,3.7,7.3,50.2,3.2,1.0,31.3,2.1,2.8,74.7,3.1
Larry Wise,3.0,6.4,46.7,3.5,1.2,34.3,1.9,2.3,83.1,0.9
Tyler Peterson,5.7,11.8,48.3,3.0,0.8,26.7,4.4,5.3,83.0,2.8
Kevin Schutte,2.7,4.6,58.1,0.0,0.0,0.0,0.9,1.6,58.1,1.7
Jaxson Baker,0.0,0.8,0.0,2.8,1.3,45.5,0.0,0.0,0.0,0.4
Jonathan Williams,4.7,9.2,51.4,5.8,1.7,28.7,3.0,3.7,79.7,2.4
Ludvig Lindby,0.4,0.9,44.4,1.9,0.6,32.5,0.2,0.3,57.1,0.4
Ayanfeoluwa Amoran,1.4,3.2,43.9,1.6,0.3,20.4,0.7,1.0,67.6,0.9
