Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Kevin Senghore Petersson,0,13,4,186:45,24,9,25,34,3,3,3,7,17,1,2,7,15,30,14,9
Mattias Herlitz,0,33,1,719:36,222,44,71,115,43,19,2,54,110,30,61,24,39,94,44,38
Eddie Czerapowicz,0,31,2,537:08,136,16,53,69,59,24,2,17,43,30,113,12,16,94,25,30
Oliver Gehrke,0,33,22,875:19,331,40,103,143,20,14,10,80,147,36,148,63,101,86,90,28
David Cestic,0,8,0,30:40,10,2,3,5,0,0,1,5,7,0,1,0,0,18,0,4
Lukas Novakovic,0,25,10,238:36,66,3,11,14,6,8,0,9,21,13,40,9,11,43,12,16
Noel Karlsson Rask,0,5,1,6:38,3,1,0,1,0,0,0,1,1,0,0,1,2,0,1,0
Nicholas Spires,0,31,29,950:20,384,74,174,248,40,25,59,113,225,31,99,65,87,107,85,56
Larry Wise,0,28,23,735:11,324,29,73,102,59,31,4,84,180,34,99,54,65,87,73,32
Tyler Peterson,0,10,10,341:57,182,25,26,51,62,21,4,57,118,8,30,44,53,37,56,33
Kevin Schutte,0,27,16,443:56,169,56,85,141,21,10,8,72,124,0,0,25,43,79,45,30
Jaxson Baker,0,8,1,91:05,30,3,10,13,4,2,2,0,6,10,22,0,0,12,1,4
Jonathan Williams,0,20,20,689:11,346,7,62,69,101,26,5,94,183,33,115,59,74,37,96,55
Ludvig Lindby,0,21,0,235:37,59,8,24,32,8,7,0,8,18,13,40,4,7,37,7,9
Ayanfeoluwa Amoran,0,33,26,567:52,150,51,30,81,11,16,0,47,107,11,54,23,34,104,30,30
