Player,MPG,PPG,ORPG,DRPG,RPG,APG,STPG,BLKPG,Tot Fouls PG,FOPG,TOPG
Emil Lundstedt,9.8,1.3,0.3,0.6,0.8,1.0,0.4,0.0,1.4,0.3,0.6
Lukas Widmark,5.3,0.7,0.0,0.3,0.3,0.1,0.3,0.0,0.6,0.1,0.2
David Apell,6.4,1.8,0.4,0.3,0.7,0.4,0.3,0.2,0.9,0.6,0.2
Anes Zekovic,29.7,13.3,0.7,3.3,4.0,2.7,1.0,0.1,3.3,3.9,1.4
Alexander Karras,17.9,8.6,0.3,0.9,1.2,0.9,0.4,0.0,1.7,1.7,1.2
Tony Vitali,25.7,11.5,1.6,4.2,5.9,1.6,0.4,0.7,2.0,1.9,1.0
Max Andersson,20.6,4.4,0.4,2.2,2.6,3.6,0.6,0.0,2.6,1.2,1.9
Jesper Hallberg,12.8,4.5,0.7,2.1,2.8,0.6,0.3,0.3,1.6,0.6,0.5
Herman Kihlman,6.4,1.6,0.4,0.4,0.8,0.2,0.0,0.2,0.4,0.0,0.0
Jonathan Peleg,27.0,14.3,0.6,2.8,3.4,3.0,1.3,0.0,2.6,3.8,2.4
Aurimas Buskevicius,6.2,3.2,0.3,0.9,1.2,0.2,0.2,0.1,0.9,0.2,0.5
Dontay Bassett,27.6,16.2,1.2,5.8,7.0,1.4,1.1,1.3,3.2,3.4,1.9
Isaiah Hill,19.3,8.7,0.8,2.3,3.1,1.2,1.3,0.1,2.5,3.1,0.9
Jan Tratnik,23.0,7.4,0.8,2.5,3.3,3.6,0.7,0.1,2.8,2.9,1.7
