Player,2PMPG,2PAPG,2P%,3PAPG,3PMPG,3P%,FTMPG,FTAPG,FT%,2CPPG
Emil Lundstedt,0.1,0.3,50.0,1.5,0.3,21.6,0.0,0.2,25.0,0.0
Lukas Widmark,0.2,0.6,36.4,0.4,0.1,12.5,0.1,0.1,50.0,0.0
David Apell,0.4,0.5,80.0,0.3,0.2,66.7,0.4,0.5,80.0,0.2
Anes Zekovic,1.9,3.7,51.4,5.8,2.0,35.3,3.4,4.0,85.8,1.3
Alexander Karras,1.1,2.0,55.6,4.8,1.6,33.1,1.6,2.3,72.1,0.4
Tony Vitali,4.3,7.4,58.1,1.3,0.4,29.7,1.8,2.2,79.7,1.8
Max Andersson,1.1,2.5,43.7,2.2,0.6,25.8,0.5,0.6,76.5,0.7
Jesper Hallberg,1.2,2.1,57.4,1.7,0.5,30.0,0.5,0.8,63.6,0.7
Herman Kihlman,0.8,1.2,66.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Peleg,3.9,8.1,47.4,3.0,1.1,36.9,3.3,4.3,76.7,1.3
Aurimas Buskevicius,0.5,0.9,50.0,1.3,0.7,54.5,0.2,0.2,75.0,0.3
Dontay Bassett,4.0,8.4,47.4,4.4,1.6,36.3,3.3,4.4,75.9,1.5
Isaiah Hill,2.2,4.6,48.2,2.1,0.6,29.7,2.4,3.5,67.6,0.9
Jan Tratnik,1.5,3.0,50.0,2.3,0.9,39.3,1.7,2.4,72.3,0.9
