Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Emil Lundstedt,0,24,2,234:05,31,6,14,20,24,10,0,3,6,8,37,1,4,34,6,14
Lukas Widmark,0,18,0,95:46,12,0,5,5,2,5,0,4,11,1,8,1,2,11,1,4
David Apell,0,10,0,64:18,18,4,3,7,4,3,2,4,5,2,3,4,5,9,6,2
Anes Zekovic,0,30,30,890:11,400,21,100,121,81,30,2,57,111,61,173,103,120,98,117,43
Alexander Karras,0,27,3,484:04,233,8,23,31,23,11,0,30,54,43,130,44,61,47,47,32
Tony Vitali,0,29,24,744:53,334,47,123,170,46,12,19,125,215,11,37,51,64,58,54,28
Max Andersson,0,28,17,576:32,123,12,62,74,100,16,1,31,71,16,62,13,17,72,33,52
Jesper Hallberg,0,29,10,369:56,129,20,60,80,17,9,10,35,61,15,50,14,22,47,18,14
Herman Kihlman,0,5,0,31:58,8,2,2,4,1,0,1,4,6,0,6,0,0,2,0,0
Jonathan Peleg,0,28,26,755:30,401,16,79,95,84,36,1,108,228,31,84,92,120,74,106,67
Aurimas Buskevicius,0,17,0,104:51,55,5,16,21,4,4,1,8,16,12,22,3,4,16,3,9
Dontay Bassett,0,18,15,495:54,291,22,104,126,26,19,24,72,152,29,80,60,79,58,61,35
Isaiah Hill,0,30,5,579:08,262,25,69,94,37,40,3,67,139,19,64,71,105,75,94,26
Jan Tratnik,0,27,18,619:47,199,22,68,90,97,18,2,40,80,24,61,47,65,76,79,45
